Program Number,Program Type,Program Facility Name,Site Class,Address1,Address2,Locality,County,ZIPCode,SWIS Code,DEC Region,Latitude,Longitude,Control Code,Control Type,OU,Project Name,Project Completion Date,Waste Name,Contaminants,Owner Name,Owner Address1,Owner Address2,Owner City,Owner State,Owner ZIP,Disposal Name,Disposal Address1,Disposal Address2,Disposal City,Disposal ZIP,Disposal State,Operator Name,Operator Address1,Operator Address2,Operator City,Operator State,Operator Zip,Georeference,NYS Municipal Boundaries 2,New York Zip Codes 2,Counties 2
B00015,ERP,Maider Road Waterfront Site,A,Maider Road,,Clay,Onondaga,13041-,3424,7,43.200505000,-76.274964000,Environmental Easement,Environmental Easement,01,,2021-12-31T00:00:00.000,,benzo(a)pyrene,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-76.274964, 43.200505]}",703,359,2132
B00192,ERP,Matt Petroleum,C,201 Leland Avenue,,Utica,Oneida,13502,3316,6,43.107412655,-75.212288741,Environmental Easement,Environmental Easement,02,Remedial Investigation,2011-03-18T00:00:00.000,,ethylbenzene,Steve sperbeck,36 wurz avenue,,Utica,NY,13502,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-75.212288741, 43.107412655]}",984,1465,625
130003B,HW,Naval Weapons Ind. Reserve Plant,02,South Oyster Bay Road,,Bethpage,Nassau,11714,3024,1,40.753719000,-73.492416000,Deed Restriction,Deed Restriction,01,Remedial Investigation,2018-11-30T00:00:00.000,"1,1,1-TRICHLOROETHANE","1,1,1-trichloroethane",Mr. Brian MURRAY,NAVFAC Mid-Atlantic,"9742 Maryland Avenue, Bldg Z-144",Norfolk,VA,23511-3095,GRUMMAN AEROSPACE - US NAVY,,,,,ZZ,GRUMMAN AEROSPACE - US NAVY,STEWART AVE,,BETHPAGE,NY,11714,"{'type': 'Point', 'coordinates': [-73.492416, 40.753719]}",59,1071,2094
518020,HW,NM - Johnstown MGP,C,103 N. Market St,,Johnstown,Fulton,12095,1808,5,43.008756240,-74.373088380,Environmental Easement,Environmental Easement,01,Site Characterization,1999-01-01T00:00:00.000,,benzo(a)anthracene,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-74.37308838, 43.00875624]}",384,1238,2085
V00482,VCP,NM - Troy Liberty St. MGP,C,Liberty St.,,Troy,Rensselaer,12180,4217,4,42.726350830,-73.696025790,Deed Restriction,Deed Restriction,01,Site Characterization,2007-11-21T00:00:00.000,,pyrene,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.69602579, 42.72635083]}",110,11,2030
314048,HW,North East Town Landfill,04,41 REAGAN ROAD,,NORTHEAST,Dutchess,12546,1438,3,41.906491700,-73.514572830,Deed Restriction,Deed Restriction,01,Remedial Action,1998-09-01T00:00:00.000,,metals,Town of Northeast,Maple Avenue,,Northeast,NY,12546,TOWN OF NORTHEAST,,,,,ZZ,Town of Northeast,Maple Avenue,,Northeast,NY,12546,"{'type': 'Point', 'coordinates': [-73.51457283, 41.9064917]}",592,983,2040
C734135,BCP,Oil City/Carousel Center - Site 7,C,311-71 Hiawatha Blvd. West,,Syracuse,Onondaga,13204,3415,7,43.066944444,-76.167500000,Environmental Easement,Environmental Easement,01,Remedial Action,2017-12-27T00:00:00.000,,zinc,Bruce A. Kenan,4 Clinton Square,,Syracuse,NY,13202,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-76.1675, 43.066944444]}",687,713,2132
B00183,ERP,Peekskill Landing Site,C,117 and 190 and 194 North Water Street,,Peekskill (c),Westchester,10566,6012,3,41.288107780,-73.930606430,Environmental Easement,Environmental Easement,01,Remedial Investigation,2006-03-31T00:00:00.000,,copper,"Anthony Ruggiero, MPA",840 Main Street,,Peekskill,NY,10566,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.93060643, 41.28810778]}",956,1334,2185
401037,HW,Perfection Plating,04,911 11th Street,,Watervliet,Albany,12189,0118,4,42.722361580,-73.711613610,Deed Restriction,Deed Restriction,01,,2022-02-23T00:00:00.000,(P098) AND SODIUM CYANIDE (P106),,Charles Essepian,180 Old Loudon Rd,,Latham,NY,12110-3905,,,,,,,*** MULTIPLE SITE OWNERS ***,911 11TH STREET,,WATERVLIET,NY,12189,"{'type': 'Point', 'coordinates': [-73.71161361, 42.72236158]}",828,19,2030
401037,HW,Perfection Plating,04,911 11th Street,,Watervliet,Albany,12189,0118,4,42.722361580,-73.711613610,Deed Restriction,Deed Restriction,01,Remedial Design,1997-07-01T00:00:00.000,EP TOXIC CHROMIUM  (D007),,Charles Essepian,27 Hills Road,,Loudonville,NY,12211,,,,,,,*** MULTIPLE SITE OWNERS ***,911 11TH STREET,,WATERVLIET,NY,12189,"{'type': 'Point', 'coordinates': [-73.71161361, 42.72236158]}",828,19,2030
B00177,ERP,Perx Property Cleanup,C,68 South Broadway,,Red Hook,Dutchess,12571-,1448,3,41.991868940,-73.881979130,Environmental Easement,Environmental Easement,01,Remedial Action,2006-07-27T00:00:00.000,,lead,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.88197913, 41.99186894]}",586,1005,2040
